z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
83;0,0026028704107872126;0,004636480746706532;94,91234364748175;49,3321551449575;45,580188502524244;123,72016531695147
84;0,0026492481383957748;0,00463888395655758;94,91234364748175;49,357725297772646;45,55461834970911;78,153723844981
85;0,002695644474426666;0,004640202509740376;94,91234364748175;49,3717547036376;45,54058894384414;32,60708173436724
86;0,0027420485742123456;0,004640436740295446;94,9123436474817;49,374246916743544;45,53809673073816;-12,931299741151605
87;0,0027884495950521353;0,004639586707562454;94,91234364748169;49,36520256846451;45,54714107901719;-58,4729572150982
88;0,00283483669346534;0,004637652196195231;94,91234364748175;49,34461936751726;45,567724279964494;-104,02942815092797
89;0,002881199022444175;0,00463463271610721;94,91234364748175;49,312492099380705;45,599851548101036;-149,6122537649313
90;0,002927525728705805;0,004630527502347286;94,91234364748169;49,268812624975126;45,64353102250656;-195,23298195003903
91;0,002973805949942774;0,004625335514906025;94,91234364748169;49,21356987860011;45,69877376888157;-240,9031702013825
92;0,003020028812071178;0,004619055438452174;94,91234364748172;49,146749865131135;45,765593782350585;-286,6343885442463
93;0,003066183426475828;0,004611685681999437;94,91234364748175;49,06833565647401;45,84400799100773;-332,43822246518124
94;0,00311225888725175;0,004603224378503433;94,91234364748175;48,97830738727653;45,93403626020522;-378,32627584707865
95;0,0031582442684412867;0,004593669384388693;94,9123436474817;48,87664224989569;46,03570139758602;-424,31017390889366
96;0,0032041286212661476;0,004583018279005615;94,91234364748173;48,76331448861974;46,14902915886199;-470,4015661507257
97;0,003249900971353639;0,004571268364017188;94,91234364748172;48,63829539314288;46,27404825433883;-516,6121293051162
98;0,0032955503159564593;0,004558416662715441;94,91234364748172;48,501553291292296;46,410790356189416;-562,9535702951956
99;0,0033410656211652337;0,004544459919267326;94,91234364748166;48,35305354100435;46,55929010647732;-609,4376292005394
100;0,003386435819113245;0,004529394597889854;-5,087656352518335;5,3547509468386725;-10,442407299357008;-656,076082231341
101;0,003391390788219672;0,004389919782954923;-5,087656352518336;5,1898607211822645;-10,2775170737006;-645,7163387495847
102;0,0033961920120949905;0,004252647339601136;-5,087656352518335;5,027574188150677;-10,115230540669012;-635,5201801937272
103;0,003400841918447251;0,0041175424914086855;-5,087656352518334;4,8678502342876016;-9,955506586805935;-625,4850234824037
104;0,003405342896649922;0,003984571011093458;-5,0876563525183345;4,710648395337155;-9,79830474785549;-615,6083263222437
105;0,0034096972983472095;0,0038536992118359545;-5,087656352518335;4,555928845992728;-9,643585198511063;-605,887586563811
106;0,0034139074380498233;0,0037248939387471;-5,0876563525183345;4,403652389807683;-9,491308742326018;-596,3203415677118
107;0,0034179755937213275;0,003598122560468834;-5,0876563525183345;4,253780449265377;-9,341436801783711;-586,9041675807131
108;0,0034219040073552405;0,0034733529609073327;-5,087656352518337;4,106275056006002;-9,193931408524339;-577,6366791217115
109;0,0034256948855430156;0,0033505535310967473;-5,087656352518335;3,96109884120771;-9,048755193726045;-568,5155283774002
